gender,age,internet,family_support,school_support,parental_education,study_time_hours,attendance_pct,absences,failures,math_score,reading_score,writing_score
Female,16,Yes,Yes,Yes,No Formal Education,6.0,86.8,24,0,71,76,72
Female,16,No,No,No,Master,1.0,66.9,5,0,67,63,58
Female,19,Yes,Yes,No,High School,14.0,88.6,4,0,72,84,86
Male,18,Yes,Yes,No,Bachelor,28.0,94.4,0,1,98,100,88
Male,16,Yes,No,Yes,No Formal Education,9.0,67.6,12,2,58,73,67
Male,15,No,Yes,No,Bachelor,6.0,74.0,21,0,68,66,70
Male,15,Yes,No,No,Bachelor,6.0,57.5,17,0,66,64,66
Female,16,Yes,Yes,No,High School,10.0,91.2,20,0,73,86,87
Female,17,Yes,No,No,No Formal Education,23.0,86.4,19,0,99,88,96
Male,19,Yes,Yes,No,High School,17.0,95.5,2,0,86,82,84
Female,18,Yes,No,Yes,Bachelor,25.0,85.7,4,0,100,83,91
Male,18,No,Yes,Yes,No Formal Education,17.0,83.7,6,1,83,69,77
Male,17,Yes,Yes,Yes,High School,7.0,72.6,14,2,66,63,69
Female,19,Yes,Yes,Yes,Master,8.0,84.7,5,0,76,74,74
Female,18,Yes,Yes,No,Bachelor,4.0,59.7,0,1,53,60,57
Male,18,Yes,No,Yes,Bachelor,10.0,86.4,12,0,78,91,80
Male,16,Yes,No,No,Master,13.0,73.4,26,0,86,80,61
Female,18,Yes,No,Yes,High School,19.0,72.1,9,1,83,90,78
Female,17,Yes,Yes,Yes,Bachelor,22.0,72.9,18,0,91,75,89
Female,18,Yes,No,No,Bachelor,26.0,97.0,21,2,89,100,85
Male,19,Yes,Yes,No,No Formal Education,27.0,60.2,5,0,90,100,84
Female,19,Yes,No,Yes,PhD,0.0,90.6,10,0,75,75,67
Male,15,Yes,Yes,Yes,Master,8.0,84.9,26,2,72,71,67
Female,18,Yes,Yes,Yes,PhD,6.0,72.0,4,0,66,79,62
Male,17,Yes,Yes,No,Master,20.0,87.1,28,0,94,77,85
Female,15,Yes,Yes,Yes,Bachelor,13.0,87.1,7,0,90,83,78
Male,18,Yes,Yes,No,Bachelor,20.0,59.1,27,1,75,76,70
Female,17,No,Yes,Yes,High School,17.0,84.4,9,0,81,79,90
Female,15,Yes,Yes,Yes,Bachelor,0.0,90.5,22,0,70,71,74
Male,17,Yes,Yes,No,PhD,14.0,64.4,22,0,79,67,70
Female,16,Yes,Yes,No,High School,26.0,88.8,11,1,91,86,90
Female,15,Yes,No,No,PhD,5.0,78.7,4,0,67,63,72
Male,18,Yes,Yes,Yes,No Formal Education,8.0,86.6,26,0,78,81,76
Female,17,Yes,No,No,High School,2.0,97.3,16,0,79,80,84
Male,16,Yes,No,No,High School,13.0,89.7,16,0,88,83,83
Male,15,Yes,Yes,No,Bachelor,9.0,60.8,19,1,64,62,62
Male,18,Yes,No,No,High School,17.0,98.7,25,2,92,79,85
Male,18,Yes,Yes,Yes,High School,24.0,72.6,29,0,96,79,84
Male,19,Yes,Yes,No,High School,0.0,82.5,21,0,76,62,52
Male,17,No,No,No,High School,19.0,61.7,10,0,64,67,66
Male,18,Yes,Yes,Yes,Bachelor,21.0,93.3,15,0,89,89,78
Male,18,Yes,Yes,No,Bachelor,10.0,76.4,6,0,73,80,70
Female,19,Yes,Yes,No,High School,25.0,82.0,29,2,87,81,66
Male,19,No,Yes,Yes,High School,3.0,73.6,29,0,75,71,68
Female,17,No,No,Yes,No Formal Education,8.0,76.6,18,2,64,67,68
Male,16,Yes,Yes,No,Bachelor,3.0,59.7,18,1,57,59,47
Female,18,Yes,No,No,Bachelor,1.0,79.5,15,0,67,68,64
Male,18,Yes,Yes,No,High School,11.0,61.7,29,0,69,73,67
Female,15,Yes,No,No,Bachelor,17.0,66.7,23,3,64,68,70
Male,15,No,Yes,No,High School,8.0,82.8,26,0,74,69,71
Male,18,Yes,Yes,No,High School,5.0,73.3,23,2,54,60,63
Male,17,Yes,Yes,Yes,High School,4.0,80.5,4,0,78,70,61
Female,18,Yes,Yes,No,High School,14.0,64.4,8,0,71,70,69
Male,15,Yes,No,Yes,High School,12.0,79.6,17,0,79,76,70
Female,19,No,No,Yes,Bachelor,11.0,57.7,10,0,68,71,59
Male,18,Yes,Yes,No,High School,19.0,98.3,10,0,97,94,83
Female,18,Yes,Yes,No,No Formal Education,10.0,78.9,28,0,81,77,78
Female,19,Yes,Yes,No,Master,27.0,58.9,22,0,78,77,86
Female,19,No,Yes,No,Bachelor,4.0,61.3,4,0,67,62,64
Male,15,Yes,No,No,High School,20.0,69.1,9,1,87,75,79
Female,19,Yes,Yes,No,High School,3.0,70.2,1,0,74,64,69
Male,17,Yes,Yes,No,High School,14.0,59.7,6,1,66,76,64
Female,16,Yes,No,Yes,Master,16.0,88.1,7,0,87,86,99
Female,17,Yes,Yes,Yes,PhD,21.0,56.1,16,0,76,74,72
Female,18,No,Yes,Yes,Bachelor,8.0,56.6,9,0,59,66,64
Female,18,Yes,Yes,No,High School,6.0,76.9,27,0,70,70,68
Male,19,Yes,No,No,Master,4.0,79.3,18,1,73,55,73
Female,19,Yes,Yes,Yes,Master,17.0,74.6,29,2,77,82,78
Male,17,Yes,Yes,No,Master,7.0,61.4,9,0,74,61,65
Male,15,Yes,No,No,Bachelor,13.0,75.4,3,0,75,70,72
Female,16,Yes,Yes,No,Master,3.0,74.9,17,0,62,68,64
Female,16,No,No,No,Master,29.0,76.6,4,0,97,82,98
Male,17,Yes,Yes,No,Bachelor,4.0,95.3,9,0,76,70,76
Male,15,No,Yes,No,Bachelor,24.0,66.2,11,1,95,72,87
Male,15,Yes,Yes,No,PhD,6.0,55.1,6,0,64,56,43
Male,17,Yes,Yes,No,High School,22.0,61.5,17,0,78,82,73
Male,17,Yes,No,Yes,No Formal Education,9.0,94.8,23,2,83,80,73
Male,18,Yes,No,No,Master,25.0,97.5,13,2,100,95,92
Male,15,Yes,Yes,No,High School,22.0,97.8,25,0,99,91,87
Female,18,Yes,No,No,Master,24.0,61.8,24,2,79,62,73
Female,15,Yes,No,No,No Formal Education,15.0,73.4,4,3,72,80,60
Male,18,Yes,No,No,Master,6.0,56.4,23,0,60,51,59
Male,16,Yes,Yes,No,High School,5.0,96.8,9,2,78,75,60
Male,15,No,Yes,No,PhD,8.0,75.2,12,0,68,66,65
Female,18,Yes,Yes,No,Bachelor,11.0,90.6,4,0,85,77,76
Female,15,No,No,No,Master,22.0,77.9,25,0,82,80,88
Male,15,Yes,Yes,No,Master,8.0,94.1,14,0,86,86,68
Female,18,Yes,No,No,Master,7.0,93.4,23,0,87,82,75
Male,16,Yes,Yes,No,Bachelor,13.0,67.1,10,0,74,73,66
Female,15,No,No,Yes,Bachelor,23.0,83.1,16,0,89,98,89
Male,17,Yes,Yes,No,No Formal Education,16.0,62.9,5,1,74,70,69
Female,17,Yes,No,No,High School,10.0,55.8,9,0,69,61,61
Female,18,Yes,Yes,No,PhD,25.0,88.8,27,0,95,100,96
Female,15,No,Yes,Yes,High School,27.0,66.3,1,3,77,83,68
Female,15,Yes,Yes,No,Master,10.0,88.2,18,0,82,84,78
Male,17,Yes,Yes,No,High School,25.0,83.9,13,0,97,84,83
Male,18,No,Yes,Yes,PhD,12.0,65.9,19,0,75,68,61
Male,15,Yes,No,No,Master,24.0,79.4,12,3,81,82,68
Female,17,Yes,Yes,No,PhD,10.0,79.9,28,0,72,68,73
Female,17,Yes,No,No,Master,6.0,89.2,6,0,69,75,67
Male,17,Yes,Yes,No,High School,27.0,81.8,26,0,96,89,91
Male,17,Yes,Yes,Yes,High School,8.0,81.2,15,0,74,77,79
Male,18,Yes,No,No,High School,27.0,77.0,20,2,84,86,77
Female,16,No,Yes,Yes,Bachelor,14.0,62.2,3,0,81,77,71
Female,19,Yes,Yes,No,No Formal Education,14.0,89.8,1,3,79,82,68
Male,16,Yes,No,No,High School,20.0,64.3,23,0,82,76,75
Female,17,Yes,Yes,Yes,Master,4.0,70.8,21,0,71,74,75
Female,17,Yes,Yes,No,High School,27.0,65.0,3,0,94,83,88
Male,17,Yes,Yes,No,Master,11.0,67.2,24,3,52,67,69
Female,17,Yes,Yes,Yes,High School,4.0,76.8,18,0,81,75,65
Female,19,No,Yes,No,High School,23.0,93.7,20,0,100,83,90
Female,18,Yes,No,No,No Formal Education,6.0,74.5,4,0,68,67,68
Female,17,Yes,Yes,No,PhD,18.0,90.7,5,0,87,83,77
Male,15,Yes,Yes,No,Bachelor,25.0,93.3,3,1,100,86,82
Female,18,Yes,Yes,Yes,Bachelor,1.0,56.2,27,0,59,59,58
Male,16,Yes,Yes,No,High School,24.0,74.0,28,3,81,84,83
Male,18,No,Yes,No,Bachelor,23.0,98.4,2,0,100,100,81
Male,19,No,No,No,Bachelor,2.0,78.7,7,0,66,62,61
Female,18,Yes,No,No,High School,16.0,88.3,19,0,96,76,80
Male,18,Yes,No,Yes,High School,5.0,71.0,5,1,65,68,65
Female,18,Yes,No,Yes,Bachelor,4.0,83.9,28,0,73,70,72
Female,17,Yes,Yes,No,Bachelor,5.0,80.9,15,0,69,71,69
Female,18,Yes,No,No,No Formal Education,11.0,68.9,9,0,75,69,74
Female,19,No,Yes,Yes,Bachelor,4.0,93.1,14,3,71,73,78
Female,16,Yes,No,No,Bachelor,16.0,72.8,21,1,74,78,66
Male,15,Yes,No,Yes,Bachelor,5.0,84.5,14,1,70,78,72
Female,18,Yes,No,Yes,Bachelor,2.0,59.4,18,0,62,58,66
Female,15,Yes,Yes,Yes,High School,25.0,75.3,11,0,85,96,86
Male,17,No,No,No,No Formal Education,9.0,78.9,28,1,76,68,63
Male,19,Yes,Yes,No,High School,22.0,56.4,28,0,81,79,69
Female,18,Yes,No,No,Bachelor,13.0,65.1,24,0,74,64,72
Male,16,Yes,Yes,No,Bachelor,3.0,72.9,14,0,70,55,66
Female,19,No,Yes,Yes,Bachelor,25.0,70.9,15,0,89,91,77
Male,16,Yes,No,No,Bachelor,19.0,79.0,1,3,71,77,76
Female,18,Yes,Yes,No,Bachelor,5.0,64.7,8,0,65,66,66
Female,18,Yes,Yes,No,PhD,11.0,72.2,24,1,66,69,75
Female,19,Yes,Yes,No,Master,29.0,84.0,0,0,100,100,99
Female,17,Yes,No,Yes,High School,7.0,93.1,9,0,79,81,83
Female,15,Yes,Yes,No,Bachelor,10.0,84.1,4,0,75,77,82
Female,19,Yes,Yes,No,Bachelor,25.0,76.6,28,0,86,96,100
Male,17,Yes,Yes,No,High School,12.0,66.0,13,0,76,74,73
Female,18,Yes,Yes,No,Bachelor,11.0,99.9,16,0,84,89,85
Female,17,Yes,No,Yes,Master,28.0,94.3,24,2,100,100,99
Male,17,Yes,Yes,No,Bachelor,12.0,96.5,6,1,79,85,77
Female,15,No,No,Yes,Master,7.0,80.0,12,0,76,76,65
Female,17,No,Yes,No,Bachelor,25.0,84.5,0,2,85,92,92
Female,18,No,Yes,No,High School,16.0,77.6,3,1,87,82,74
Female,18,Yes,Yes,Yes,High School,23.0,55.2,4,1,85,77,74
Male,18,Yes,Yes,No,Master,27.0,56.7,10,2,75,76,74
Male,15,Yes,Yes,No,Bachelor,29.0,71.1,10,0,97,95,92
Male,17,Yes,No,No,High School,14.0,81.1,24,0,87,80,80
Female,16,Yes,Yes,No,No Formal Education,18.0,66.4,9,0,70,77,78
Male,19,Yes,Yes,No,Bachelor,19.0,70.9,8,3,77,65,76
Male,16,No,Yes,Yes,High School,25.0,94.4,10,2,100,92,83
Male,19,Yes,No,No,Master,6.0,74.4,20,0,76,65,69
Female,19,Yes,Yes,Yes,Master,19.0,57.2,10,0,81,66,83
Female,16,Yes,Yes,No,High School,14.0,91.4,25,0,89,82,89
Male,16,Yes,No,No,Bachelor,12.0,99.4,27,2,87,67,66
Female,17,Yes,No,No,Master,27.0,91.6,16,0,100,100,100
Male,17,No,No,No,No Formal Education,5.0,68.4,24,0,63,60,64
Male,15,Yes,Yes,Yes,High School,21.0,98.4,3,2,85,89,84
Female,16,No,Yes,Yes,Master,16.0,89.5,24,0,90,79,88
Female,18,Yes,Yes,No,Bachelor,21.0,70.6,7,1,79,82,85
Female,19,Yes,Yes,No,High School,18.0,58.2,29,1,69,79,70
Male,15,Yes,Yes,Yes,Bachelor,21.0,82.9,24,0,88,82,84
Female,19,Yes,No,No,Bachelor,7.0,84.7,28,0,81,80,69
Female,15,Yes,Yes,No,High School,9.0,55.0,0,2,62,61,62
Male,18,Yes,No,No,PhD,7.0,72.3,19,0,71,68,63
Male,16,Yes,Yes,No,High School,6.0,60.3,1,0,66,63,71
Female,15,Yes,Yes,No,Bachelor,11.0,71.9,11,0,70,78,70
Male,18,No,Yes,No,Bachelor,20.0,64.9,17,0,75,77,86
Female,17,Yes,No,No,High School,18.0,87.3,13,0,95,83,72
Male,18,No,Yes,No,No Formal Education,15.0,95.8,15,0,85,87,71
Female,17,Yes,Yes,No,No Formal Education,16.0,93.8,12,0,98,93,97
Male,17,Yes,Yes,No,High School,3.0,74.4,26,0,81,70,67
Female,19,Yes,Yes,No,High School,12.0,99.5,4,0,78,94,75
Male,18,No,Yes,No,High School,19.0,60.9,8,0,81,80,72
Male,15,Yes,No,No,Bachelor,27.0,84.0,23,0,97,98,93
Female,15,Yes,Yes,No,No Formal Education,9.0,62.7,15,1,67,67,54
Female,19,Yes,No,Yes,PhD,27.0,56.6,9,0,91,82,81
Female,16,No,Yes,No,No Formal Education,3.0,96.2,13,1,73,69,68
Male,15,Yes,No,Yes,Bachelor,15.0,79.3,6,0,92,73,79
Male,19,Yes,No,Yes,Master,9.0,83.7,29,2,75,70,75
Female,19,Yes,Yes,No,PhD,17.0,87.3,25,0,89,90,74
Male,19,Yes,Yes,No,Bachelor,14.0,63.5,24,0,72,61,73
Female,18,No,Yes,No,Bachelor,27.0,80.1,6,0,92,90,90
Female,17,Yes,Yes,No,Master,5.0,69.8,29,0,68,62,62
Male,16,Yes,No,Yes,High School,2.0,91.6,8,1,73,88,77
Female,16,Yes,No,Yes,Master,6.0,98.7,5,1,73,91,84
Female,17,Yes,No,No,High School,15.0,70.7,1,0,79,79,81
Female,16,No,No,No,High School,9.0,76.2,8,0,74,76,71
Male,19,Yes,No,Yes,Master,19.0,62.1,10,3,76,65,75
Male,15,Yes,Yes,No,High School,7.0,55.7,11,2,52,67,54
Female,17,Yes,No,No,No Formal Education,0.0,80.1,5,2,59,69,54
Female,19,Yes,Yes,No,Bachelor,0.0,77.5,0,2,56,62,58
Female,18,Yes,Yes,No,No Formal Education,22.0,88.7,23,0,94,85,80
Male,19,No,No,Yes,High School,28.0,91.2,15,0,100,97,92
Male,16,Yes,Yes,No,Bachelor,17.0,74.5,3,0,82,77,76
Male,15,Yes,Yes,No,High School,2.0,67.0,14,2,65,46,51
Male,17,Yes,Yes,Yes,No Formal Education,5.0,65.0,21,0,73,59,70
Male,18,No,No,Yes,Master,25.0,66.2,5,2,74,71,72
Male,17,Yes,No,Yes,High School,4.0,78.9,13,3,63,78,58
Male,15,Yes,Yes,Yes,Master,13.0,62.1,0,0,76,67,71
Male,19,Yes,Yes,Yes,Bachelor,3.0,84.7,14,0,65,76,73
Male,18,Yes,Yes,Yes,No Formal Education,24.0,82.6,27,0,88,88,77
Male,17,Yes,No,Yes,No Formal Education,8.0,78.7,23,1,73,71,71
Female,19,Yes,Yes,No,High School,12.0,83.3,4,0,95,75,79
Male,16,Yes,Yes,No,Bachelor,25.0,75.8,20,0,97,93,85
Male,15,Yes,No,No,Bachelor,20.0,72.0,3,0,86,76,74
Female,19,Yes,Yes,Yes,Bachelor,2.0,93.7,6,0,70,82,70
Female,16,Yes,Yes,Yes,Master,3.0,90.0,3,0,70,75,75
Male,18,Yes,No,No,Bachelor,10.0,96.5,10,0,87,86,70
Female,19,Yes,No,Yes,Bachelor,13.0,95.9,9,0,91,92,80
Female,19,Yes,No,No,Bachelor,20.0,60.4,24,0,83,80,61
Female,16,Yes,No,No,No Formal Education,20.0,85.8,19,0,82,88,89
Female,17,Yes,No,Yes,Bachelor,27.0,62.8,24,2,82,85,75
Male,18,Yes,Yes,Yes,PhD,16.0,83.9,7,0,88,82,86
Female,16,Yes,No,No,Bachelor,29.0,87.0,14,0,100,95,100
Female,15,Yes,Yes,No,Master,22.0,71.4,9,1,90,71,77
Male,15,Yes,No,No,Master,1.0,72.9,19,2,63,56,58
Female,15,Yes,Yes,Yes,No Formal Education,9.0,98.4,9,0,88,85,79
Female,17,Yes,Yes,No,Bachelor,21.0,80.6,22,2,80,79,79
Female,17,Yes,No,Yes,High School,2.0,55.0,0,2,58,67,45
Male,16,Yes,No,No,No Formal Education,11.0,91.9,28,0,85,81,81
Male,19,Yes,No,No,High School,21.0,82.4,3,0,83,90,91
Female,19,No,No,No,Bachelor,2.0,55.7,3,0,57,62,47
Male,17,Yes,No,No,High School,28.0,89.9,22,0,90,100,85
Male,16,Yes,Yes,No,No Formal Education,5.0,79.7,28,2,56,73,52
Male,16,Yes,No,No,High School,8.0,69.8,3,0,69,68,64
Female,17,Yes,Yes,No,No Formal Education,18.0,65.4,17,0,79,73,74
Male,18,Yes,Yes,No,No Formal Education,3.0,67.5,17,2,55,60,48
Female,15,Yes,Yes,No,Bachelor,14.0,86.3,20,0,77,76,80
Female,19,Yes,Yes,No,High School,12.0,90.0,22,0,87,79,87
Female,17,Yes,No,Yes,No Formal Education,5.0,69.6,1,0,68,66,61
Male,17,Yes,Yes,Yes,Master,28.0,99.8,12,0,100,97,93
Female,19,Yes,No,Yes,Bachelor,29.0,68.9,24,0,94,91,100
Male,15,Yes,Yes,Yes,No Formal Education,1.0,64.8,3,0,62,64,53
Male,18,Yes,Yes,No,High School,25.0,65.9,28,0,89,93,74
Female,17,No,No,Yes,Bachelor,29.0,74.4,0,0,89,97,95
Male,19,Yes,Yes,Yes,High School,17.0,75.0,0,3,78,79,73
Female,18,Yes,Yes,No,Master,29.0,61.2,24,2,78,81,80
Male,17,Yes,Yes,No,High School,14.0,63.4,7,0,72,63,78
Female,18,Yes,No,Yes,No Formal Education,9.0,94.4,24,3,72,76,72
Female,16,Yes,Yes,Yes,No Formal Education,21.0,57.4,1,0,79,82,85
Male,17,Yes,Yes,No,Bachelor,9.0,87.1,21,0,73,80,75
Male,16,Yes,Yes,No,High School,18.0,99.4,8,0,85,100,82
Male,16,Yes,Yes,No,Bachelor,19.0,79.8,21,0,82,89,79
Female,16,Yes,Yes,Yes,Bachelor,11.0,81.4,11,0,79,83,85
Female,17,Yes,No,No,PhD,8.0,75.0,25,1,63,71,61
Male,19,Yes,No,No,High School,20.0,96.5,28,0,100,83,100
Female,18,Yes,Yes,No,High School,27.0,70.2,8,0,87,100,81
Male,18,Yes,No,No,PhD,4.0,99.6,23,0,91,85,77
Female,19,Yes,Yes,No,High School,11.0,55.6,12,0,58,71,72
Female,18,Yes,No,No,Bachelor,12.0,79.3,17,0,82,83,75
Female,16,Yes,Yes,No,No Formal Education,20.0,79.7,5,0,79,92,86
Female,18,Yes,Yes,Yes,Master,7.0,66.0,8,2,73,75,65
Male,19,Yes,No,No,High School,15.0,55.1,27,2,67,56,69
Female,18,Yes,No,Yes,Master,19.0,87.5,8,0,92,93,94
Female,18,Yes,No,No,High School,24.0,98.8,23,0,100,95,94
Female,18,Yes,Yes,Yes,Bachelor,18.0,77.5,15,0,94,87,85
Male,19,Yes,Yes,No,No Formal Education,9.0,91.6,13,0,84,78,78
Male,15,Yes,Yes,No,Master,0.0,72.8,1,0,68,60,61
Female,17,Yes,No,Yes,High School,9.0,73.5,26,2,67,60,58
Male,17,Yes,Yes,No,Bachelor,18.0,63.7,14,0,79,70,75
Female,19,No,No,Yes,No Formal Education,8.0,96.4,20,0,74,79,76
Male,19,Yes,No,No,Master,8.0,69.7,27,0,68,74,65
Male,18,Yes,Yes,Yes,Master,4.0,88.1,27,1,76,72,69
Female,15,Yes,Yes,Yes,PhD,20.0,61.1,16,0,68,91,74
Male,19,Yes,No,Yes,High School,4.0,98.5,17,0,80,75,76
Male,16,Yes,No,No,No Formal Education,5.0,85.2,17,0,65,73,77
Female,16,Yes,Yes,Yes,Bachelor,25.0,99.3,8,2,100,97,99
Male,17,Yes,No,No,Bachelor,2.0,70.4,23,3,56,56,51
Male,17,Yes,No,No,High School,21.0,90.2,19,0,90,88,88
Male,17,Yes,Yes,No,Master,10.0,70.6,8,0,74,68,67
Male,17,Yes,Yes,No,PhD,3.0,91.8,11,0,76,60,69
Male,18,Yes,Yes,Yes,Bachelor,27.0,67.9,11,0,97,88,89
Female,18,Yes,Yes,Yes,High School,24.0,80.2,22,0,85,82,94
Female,19,Yes,Yes,No,High School,14.0,91.1,22,0,83,91,76
Female,15,No,Yes,Yes,Bachelor,8.0,56.7,8,0,69,66,63
Male,18,No,Yes,No,High School,3.0,74.7,15,1,76,52,60
Male,16,Yes,No,No,Master,16.0,65.2,17,0,73,83,70
Male,17,Yes,Yes,No,High School,28.0,60.2,6,0,87,84,80
Female,19,Yes,Yes,No,Bachelor,21.0,89.8,12,2,76,83,80
Male,16,Yes,Yes,Yes,Bachelor,5.0,71.6,12,0,72,79,65
Male,18,Yes,Yes,No,PhD,1.0,81.1,19,0,68,68,54
Male,19,Yes,Yes,No,Bachelor,28.0,67.3,22,0,82,95,80
Female,16,Yes,Yes,No,Master,27.0,60.0,10,0,83,82,80
Female,18,Yes,Yes,No,Bachelor,14.0,95.0,4,1,80,86,84
Male,16,Yes,Yes,No,High School,18.0,73.5,24,0,91,71,77
Male,17,Yes,Yes,No,High School,0.0,93.3,20,0,67,61,70
Male,19,Yes,Yes,Yes,High School,26.0,72.1,17,1,89,90,85
Male,16,No,No,No,High School,18.0,83.0,13,1,88,79,77
Female,15,Yes,Yes,Yes,Bachelor,28.0,83.9,1,0,100,100,100
Female,17,Yes,Yes,Yes,PhD,15.0,95.2,29,0,89,84,84
Female,15,Yes,Yes,No,High School,20.0,61.7,7,0,76,84,65
Female,17,Yes,Yes,No,High School,8.0,94.4,18,0,83,78,76
Male,18,Yes,No,No,Bachelor,28.0,96.2,13,0,100,100,96
Male,16,No,No,Yes,No Formal Education,17.0,99.0,16,1,85,90,85
Male,16,Yes,Yes,Yes,High School,28.0,75.8,9,2,84,90,95
Female,16,Yes,Yes,No,No Formal Education,0.0,60.6,11,0,52,68,59
Male,15,Yes,Yes,No,High School,20.0,63.2,13,0,79,81,78
Female,15,Yes,Yes,No,Bachelor,20.0,55.6,26,0,81,67,79
Female,18,Yes,No,Yes,PhD,5.0,86.7,7,0,72,79,76
Male,16,No,No,Yes,High School,5.0,86.4,7,0,82,80,75
Female,19,Yes,Yes,Yes,No Formal Education,4.0,59.9,23,0,65,65,65
Female,19,Yes,Yes,No,High School,6.0,75.3,10,0,67,58,73
Female,17,Yes,Yes,Yes,Master,29.0,85.4,22,0,99,97,94
Male,15,No,Yes,No,Bachelor,25.0,60.6,24,0,73,84,79
Male,18,Yes,Yes,Yes,Master,27.0,59.3,25,0,89,81,86
Female,18,Yes,Yes,No,No Formal Education,23.0,72.6,6,0,78,86,76
Male,18,Yes,Yes,No,Bachelor,19.0,76.0,26,0,90,80,73
Male,17,Yes,Yes,Yes,High School,13.0,77.6,4,0,75,76,80
Male,18,Yes,No,No,Bachelor,8.0,97.1,21,0,78,77,79
Male,15,Yes,No,Yes,High School,14.0,91.0,5,0,89,91,88
Female,18,No,Yes,No,Bachelor,29.0,80.4,28,0,90,91,86
Female,18,Yes,Yes,No,PhD,1.0,71.1,0,0,61,59,58
Female,15,Yes,No,No,No Formal Education,8.0,87.2,5,0,90,68,72
Male,17,Yes,No,Yes,Master,10.0,79.5,13,1,80,70,67
Female,19,Yes,Yes,No,Master,5.0,61.7,17,0,68,62,60
Female,16,Yes,Yes,No,No Formal Education,14.0,66.1,26,0,70,69,68
Female,15,Yes,Yes,Yes,Master,21.0,83.8,15,0,90,97,89
Female,15,Yes,No,No,Bachelor,29.0,63.6,16,0,82,90,74
Male,15,Yes,No,No,No Formal Education,20.0,79.7,16,0,96,79,80
Female,17,Yes,No,No,Bachelor,17.0,65.6,0,0,73,80,81
Male,19,Yes,No,Yes,High School,13.0,88.0,9,2,86,77,71
Male,19,Yes,Yes,No,No Formal Education,0.0,95.2,1,0,73,81,61
Female,18,Yes,No,Yes,No Formal Education,28.0,99.6,5,1,100,100,91
Male,16,Yes,Yes,No,High School,9.0,77.6,8,2,70,67,65
Female,17,Yes,Yes,Yes,High School,23.0,56.0,18,0,78,88,86
Male,15,Yes,Yes,No,Bachelor,0.0,79.2,27,0,68,67,59
Female,16,Yes,No,No,Bachelor,8.0,97.1,2,1,70,83,72
Female,18,Yes,Yes,No,No Formal Education,24.0,76.5,17,0,84,89,82
Male,17,Yes,No,No,High School,11.0,77.8,21,0,75,86,63
Male,17,Yes,No,No,Bachelor,11.0,72.8,0,2,64,72,66
Male,15,Yes,Yes,Yes,Bachelor,20.0,58.0,8,2,82,70,68
Female,19,No,Yes,No,Bachelor,1.0,96.9,4,0,77,77,69
Male,15,Yes,Yes,No,High School,7.0,56.7,0,0,59,53,58
Female,17,Yes,Yes,Yes,Bachelor,16.0,59.4,6,0,81,79,69
Female,16,Yes,Yes,Yes,Bachelor,10.0,95.1,15,0,95,80,84
Female,18,Yes,No,No,High School,18.0,55.8,2,0,62,72,77
Male,18,Yes,Yes,No,Master,4.0,69.7,5,1,62,52,64
Female,19,Yes,Yes,No,No Formal Education,21.0,72.5,19,0,87,87,84
Female,18,Yes,No,Yes,Bachelor,1.0,61.5,26,0,58,61,52
Male,16,Yes,Yes,No,Bachelor,14.0,68.4,20,0,71,69,77
Male,19,Yes,No,No,No Formal Education,22.0,77.1,10,1,84,85,79
Male,19,No,No,No,Master,24.0,67.7,6,1,85,81,74
Female,15,Yes,No,No,High School,10.0,87.0,18,0,79,80,86
Female,15,Yes,Yes,Yes,No Formal Education,4.0,74.9,3,0,71,63,67
Female,15,Yes,Yes,No,Bachelor,16.0,76.1,17,0,85,85,82
Female,15,Yes,No,No,Bachelor,8.0,59.8,19,0,55,65,66
Male,19,Yes,No,Yes,PhD,3.0,69.8,9,0,64,63,55
Female,15,Yes,No,Yes,PhD,17.0,95.2,1,2,73,83,83
Male,18,Yes,No,No,Bachelor,5.0,65.8,22,0,65,58,69
Male,15,Yes,No,No,Master,15.0,74.4,22,0,80,78,76
Male,19,Yes,No,No,Master,1.0,74.0,16,2,63,61,48
Male,16,No,No,No,High School,11.0,56.4,27,0,74,67,64
Male,17,No,No,Yes,PhD,29.0,66.4,25,0,97,79,89
Female,19,Yes,No,Yes,Master,19.0,74.1,18,3,80,83,74
Female,17,Yes,Yes,No,High School,19.0,81.9,1,1,77,87,76
Female,16,Yes,Yes,Yes,High School,17.0,68.5,15,0,81,86,85
Female,15,Yes,Yes,No,Master,4.0,61.3,1,0,77,68,53
Female,17,Yes,No,No,Bachelor,29.0,97.7,27,0,100,100,100
Male,17,Yes,No,Yes,High School,5.0,80.4,4,0,74,78,72
Female,19,Yes,Yes,No,No Formal Education,12.0,61.1,4,1,71,75,66
Female,19,No,Yes,Yes,Master,22.0,88.3,10,0,85,93,100
Male,19,Yes,Yes,No,High School,19.0,60.6,18,0,87,76,76
Male,19,Yes,Yes,Yes,Master,20.0,87.7,27,1,90,87,88
Male,16,Yes,No,No,Bachelor,9.0,60.6,20,0,71,70,76
Female,16,Yes,Yes,No,Bachelor,18.0,83.2,24,0,85,88,82
Female,19,Yes,Yes,No,No Formal Education,17.0,95.3,13,0,91,88,84
Female,18,No,No,No,Master,1.0,89.6,6,0,65,65,69
Male,17,Yes,No,Yes,High School,4.0,90.3,4,0,66,76,68
Male,17,Yes,Yes,No,Bachelor,20.0,55.7,21,0,82,73,72
Male,16,Yes,No,No,Master,25.0,97.5,22,0,100,90,95
Female,19,Yes,No,No,No Formal Education,21.0,58.1,20,0,71,75,85
