age,tenure_months,monthly_charges,total_charges,support_calls,num_contracts,plan_type,payment_method,region,churned
33.0,64.0,70.59,4517.76,13.0,3.0,Standard,Credit Card,East,0
42.0,23.0,111.95,2574.85,13.0,1.0,Premium,Credit Card,South,0
55.0,2.0,77.61,155.22,2.0,2.0,Standard,Bank Transfer,North,1
27.0,0.0,110.71,0.0,13.0,4.0,Premium,Credit Card,South,1
55.0,63.0,42.55,2680.65,2.0,5.0,Basic,Credit Card,North,0
29.0,27.0,76.05,2053.35,11.0,5.0,Standard,Credit Card,West,0
62.0,47.0,127.81,6007.07,0.0,5.0,Premium,Bank Transfer,South,0
24.0,38.0,34.29,1303.02,12.0,4.0,Basic,Credit Card,West,0
68.0,10.0,131.05,1310.5,13.0,4.0,Premium,Prepaid,South,1
55.0,66.0,44.44,2933.04,4.0,5.0,Basic,Prepaid,West,0
32.0,6.0,27.59,165.54,,1.0,Basic,Cash,South,1
59.0,3.0,40.87,122.61,4.0,1.0,Basic,Credit Card,North,0
50.0,8.0,46.56,372.48,11.0,2.0,Basic,Cash,North,1
42.0,31.0,58.74,1820.94,9.0,1.0,Standard,Cash,North,0
56.0,35.0,63.0,2205.0,14.0,3.0,Standard,Cash,South,0
53.0,55.0,70.85,3896.75,14.0,3.0,Standard,Cash,East,0
22.0,4.0,,,11.0,1.0,Premium,Bank Transfer,West,1
29.0,71.0,29.42,2088.82,4.0,3.0,Basic,Cash,South,0
52.0,30.0,88.59,2657.7,9.0,2.0,Standard,Bank Transfer,West,0
39.0,64.0,64.45,4124.8,13.0,1.0,Standard,Bank Transfer,West,0
34.0,11.0,103.43,1137.73,4.0,2.0,Premium,Cash,East,0
46.0,26.0,39.89,1037.14,9.0,2.0,Basic,Credit Card,East,0
26.0,3.0,44.69,134.07,1.0,1.0,Basic,Prepaid,South,0
69.0,33.0,36.04,1189.32,8.0,3.0,Basic,Cash,East,0
46.0,7.0,50.46,353.22,4.0,3.0,Basic,Bank Transfer,West,0
18.0,31.0,53.83,1668.73,11.0,2.0,Standard,Bank Transfer,East,0
42.0,6.0,,,0.0,5.0,Standard,Credit Card,East,0
56.0,32.0,,,8.0,2.0,Standard,Prepaid,North,0
48.0,64.0,104.88,6712.32,12.0,2.0,Premium,Bank Transfer,North,1
44.0,1.0,32.09,32.09,14.0,1.0,Basic,Credit Card,East,1
51.0,47.0,35.67,1676.49,11.0,4.0,Basic,Bank Transfer,West,0
19.0,39.0,86.16,3360.24,13.0,3.0,Standard,Bank Transfer,South,1
43.0,45.0,113.75,5118.75,10.0,4.0,Premium,Credit Card,South,0
38.0,9.0,118.46,1066.14,13.0,1.0,Premium,Bank Transfer,South,1
65.0,70.0,23.92,1674.4,8.0,3.0,Basic,Prepaid,South,0
48.0,51.0,44.43,2265.93,0.0,2.0,Basic,Cash,West,0
27.0,40.0,65.37,2614.8,9.0,3.0,Standard,Prepaid,North,0
62.0,11.0,68.64,755.04,3.0,4.0,Standard,Bank Transfer,East,0
33.0,67.0,64.86,4345.62,7.0,2.0,Standard,Bank Transfer,North,0
69.0,16.0,42.17,674.72,9.0,1.0,Basic,Bank Transfer,South,0
36.0,47.0,35.37,1662.39,1.0,4.0,Basic,Cash,West,0
62.0,13.0,46.01,598.13,13.0,3.0,Basic,Bank Transfer,East,1
58.0,32.0,128.74,4119.68,14.0,2.0,Premium,Prepaid,South,1
55.0,1.0,29.99,29.99,12.0,5.0,Basic,Cash,East,1
51.0,50.0,,,2.0,1.0,Basic,Bank Transfer,North,0
19.0,60.0,126.0,7560.0,7.0,2.0,Premium,Credit Card,South,0
28.0,31.0,80.24,2487.44,0.0,4.0,Standard,Bank Transfer,South,0
63.0,58.0,41.34,2397.72,14.0,5.0,Basic,Bank Transfer,South,0
56.0,13.0,42.43,551.59,7.0,5.0,Basic,Cash,East,0
42.0,3.0,89.37,268.11,14.0,1.0,Premium,Credit Card,West,1
58.0,3.0,69.03,207.09,1.0,4.0,Standard,Prepaid,North,0
52.0,2.0,126.48,252.96,0.0,3.0,Premium,Bank Transfer,South,1
58.0,66.0,100.11,6607.26,5.0,3.0,Premium,Cash,North,0
45.0,39.0,25.08,978.12,4.0,3.0,Basic,Credit Card,West,0
22.0,26.0,32.77,852.02,12.0,5.0,Basic,Credit Card,West,1
39.0,17.0,68.68,1167.56,4.0,1.0,Standard,Bank Transfer,West,0
29.0,60.0,31.8,1908.0,6.0,5.0,Basic,Credit Card,East,0
62.0,32.0,48.18,1541.76,14.0,3.0,Basic,Prepaid,West,0
64.0,31.0,,,3.0,3.0,Premium,Bank Transfer,South,0
28.0,19.0,66.4,1261.6,9.0,4.0,Standard,Prepaid,North,0
63.0,4.0,124.85,499.4,7.0,2.0,Premium,Cash,South,1
35.0,41.0,33.43,1370.63,4.0,1.0,Basic,Bank Transfer,North,0
28.0,40.0,100.49,4019.6,2.0,1.0,Premium,Bank Transfer,East,0
32.0,58.0,46.89,2719.62,8.0,5.0,Basic,Bank Transfer,South,0
46.0,6.0,99.79,598.74,5.0,4.0,Standard,Prepaid,South,1
30.0,63.0,79.07,4981.41,8.0,1.0,Standard,Cash,South,0
31.0,52.0,32.76,1703.52,14.0,1.0,Basic,Cash,South,0
54.0,52.0,,,1.0,5.0,Standard,Bank Transfer,West,0
39.0,28.0,92.4,2587.2,3.0,2.0,Premium,Cash,North,0
54.0,33.0,60.76,2005.08,6.0,5.0,Standard,Credit Card,East,0
19.0,57.0,38.36,2186.52,12.0,4.0,Basic,Bank Transfer,South,1
23.0,26.0,42.62,1108.12,4.0,4.0,Basic,Credit Card,West,0
32.0,7.0,33.53,234.71,13.0,4.0,Basic,Bank Transfer,South,1
36.0,23.0,86.15,1981.45,0.0,3.0,Premium,Bank Transfer,East,1
32.0,1.0,41.45,41.45,14.0,5.0,Basic,Bank Transfer,North,1
38.0,11.0,34.2,376.2,2.0,5.0,Basic,Credit Card,South,0
65.0,8.0,48.95,391.6,0.0,1.0,Basic,Bank Transfer,East,0
41.0,54.0,45.88,2477.52,8.0,3.0,Basic,Bank Transfer,North,0
48.0,67.0,40.36,2704.12,0.0,4.0,Basic,Cash,North,0
59.0,25.0,30.2,755.0,8.0,1.0,Basic,Bank Transfer,East,0
27.0,19.0,38.55,732.45,2.0,4.0,Basic,Cash,South,0
25.0,55.0,60.93,3351.15,10.0,1.0,Standard,Prepaid,East,0
40.0,42.0,65.96,2770.32,,3.0,Standard,Credit Card,North,0
50.0,25.0,68.76,1719.0,9.0,2.0,Standard,Cash,West,1
43.0,28.0,23.32,652.96,7.0,3.0,Basic,Bank Transfer,East,0
24.0,69.0,100.55,6937.95,9.0,2.0,Premium,Cash,East,0
51.0,15.0,66.75,1001.25,12.0,4.0,Standard,Bank Transfer,North,0
66.0,35.0,35.15,1230.25,12.0,3.0,Basic,Credit Card,East,0
45.0,11.0,91.53,1006.83,0.0,5.0,Standard,Bank Transfer,West,1
64.0,47.0,99.95,4697.65,12.0,4.0,Premium,Bank Transfer,East,1
39.0,42.0,112.26,4714.92,6.0,3.0,Premium,Credit Card,South,0
38.0,17.0,36.67,623.39,4.0,4.0,Basic,Credit Card,East,0
34.0,33.0,27.85,919.05,11.0,2.0,Basic,Credit Card,South,0
45.0,6.0,110.87,665.22,8.0,3.0,Premium,Prepaid,West,1
47.0,69.0,63.57,4386.33,9.0,2.0,Standard,Credit Card,East,0
23.0,60.0,102.33,6139.8,8.0,4.0,Premium,Bank Transfer,West,0
68.0,59.0,81.75,4823.25,5.0,1.0,Standard,Bank Transfer,South,0
25.0,22.0,69.09,1519.98,5.0,3.0,Standard,Bank Transfer,West,0
46.0,59.0,96.73,5707.07,3.0,4.0,Premium,Bank Transfer,East,0
34.0,19.0,104.89,1992.91,12.0,3.0,Premium,Bank Transfer,West,0
64.0,4.0,94.34,377.36,6.0,2.0,Premium,Credit Card,East,0
51.0,12.0,28.51,342.12,4.0,3.0,Basic,Credit Card,North,1
18.0,32.0,83.62,2675.84,2.0,3.0,Standard,Cash,East,0
19.0,37.0,47.18,1745.66,12.0,1.0,Basic,Credit Card,East,0
28.0,0.0,118.83,0.0,2.0,4.0,Premium,Cash,South,0
60.0,65.0,78.86,5125.9,5.0,2.0,Standard,Credit Card,West,0
62.0,61.0,63.27,3859.47,12.0,2.0,Standard,Bank Transfer,East,0
46.0,29.0,24.3,704.7,5.0,4.0,Basic,Credit Card,East,0
47.0,18.0,34.33,617.94,0.0,3.0,Basic,Prepaid,West,0
51.0,44.0,64.03,2817.32,8.0,4.0,Basic,Prepaid,West,1
43.0,30.0,,,12.0,3.0,Premium,Credit Card,West,1
44.0,46.0,60.15,2766.9,10.0,5.0,Standard,Cash,West,0
37.0,17.0,35.01,595.17,2.0,2.0,Basic,Credit Card,West,0
43.0,19.0,34.06,647.14,11.0,5.0,Basic,Bank Transfer,East,0
33.0,6.0,51.01,306.06,2.0,2.0,Basic,Credit Card,South,1
56.0,43.0,79.18,3404.74,14.0,5.0,Standard,Bank Transfer,West,0
53.0,69.0,60.77,4193.13,1.0,5.0,Standard,Credit Card,East,0
55.0,64.0,25.33,1621.12,2.0,1.0,Basic,Credit Card,North,0
37.0,40.0,28.84,1153.6,4.0,3.0,Basic,Bank Transfer,South,0
38.0,9.0,38.09,342.81,2.0,3.0,Basic,Bank Transfer,West,0
40.0,33.0,56.04,1849.32,8.0,3.0,Standard,Bank Transfer,North,0
49.0,31.0,23.35,723.85,1.0,2.0,Basic,Prepaid,East,0
58.0,55.0,33.29,1830.95,6.0,1.0,Basic,Credit Card,North,0
18.0,19.0,37.04,703.76,5.0,2.0,Basic,Credit Card,East,0
67.0,35.0,65.81,2303.35,13.0,1.0,Standard,Bank Transfer,East,0
62.0,35.0,123.28,4314.8,11.0,5.0,Premium,Bank Transfer,South,1
69.0,60.0,37.28,2236.8,9.0,2.0,Basic,Bank Transfer,North,0
32.0,68.0,115.24,7836.32,13.0,3.0,Premium,Credit Card,West,0
43.0,58.0,74.41,4315.78,5.0,4.0,Standard,Cash,North,0
46.0,22.0,83.31,1832.82,8.0,4.0,Standard,Credit Card,West,0
25.0,1.0,71.98,71.98,6.0,1.0,Standard,Bank Transfer,North,1
36.0,43.0,32.41,1393.63,2.0,5.0,Basic,Credit Card,East,0
19.0,35.0,25.45,890.75,3.0,4.0,Basic,Cash,North,0
24.0,67.0,37.93,2541.31,10.0,4.0,Basic,Cash,South,0
43.0,2.0,74.78,149.56,10.0,1.0,Standard,Cash,West,1
34.0,45.0,36.46,1640.7,1.0,5.0,Basic,Credit Card,West,0
21.0,27.0,50.54,1364.58,7.0,3.0,Standard,Credit Card,East,0
61.0,37.0,77.48,2866.76,9.0,4.0,Standard,Credit Card,West,0
24.0,26.0,73.32,1906.32,9.0,2.0,Standard,Credit Card,South,0
30.0,5.0,35.67,178.35,4.0,4.0,Basic,Credit Card,West,0
30.0,57.0,66.17,3771.69,0.0,1.0,Standard,Prepaid,North,0
44.0,0.0,87.56,0.0,2.0,2.0,Standard,Bank Transfer,South,0
69.0,16.0,70.65,1130.4,13.0,5.0,Standard,Credit Card,West,1
19.0,50.0,16.39,819.5,6.0,3.0,Basic,Credit Card,North,0
26.0,42.0,72.37,3039.54,13.0,2.0,Standard,Bank Transfer,North,0
35.0,40.0,37.55,1502.0,1.0,4.0,Basic,Prepaid,West,0
23.0,33.0,29.82,984.06,10.0,5.0,Basic,Prepaid,West,0
18.0,28.0,24.1,674.8,7.0,4.0,Basic,Credit Card,North,0
65.0,59.0,88.1,5197.9,1.0,1.0,Premium,Cash,East,0
29.0,42.0,88.17,3703.14,8.0,4.0,Standard,Prepaid,South,1
50.0,58.0,94.08,5456.64,5.0,4.0,Premium,Cash,East,0
63.0,33.0,36.69,1210.77,6.0,3.0,Basic,Credit Card,West,1
56.0,4.0,23.98,95.92,4.0,5.0,Basic,Prepaid,East,1
20.0,41.0,58.74,2408.34,1.0,4.0,Standard,Credit Card,East,0
36.0,57.0,63.69,3630.33,6.0,3.0,Standard,Prepaid,East,0
20.0,48.0,43.48,2087.04,,2.0,Basic,Bank Transfer,South,1
66.0,10.0,68.32,683.2,1.0,3.0,Standard,Bank Transfer,East,0
42.0,49.0,24.34,1192.66,11.0,1.0,Basic,Cash,West,0
68.0,47.0,99.99,4699.53,3.0,4.0,Premium,Cash,West,0
38.0,4.0,33.88,135.52,4.0,3.0,Basic,Prepaid,West,0
47.0,4.0,101.05,404.2,6.0,2.0,Premium,Prepaid,East,0
21.0,46.0,55.67,2560.82,1.0,2.0,Standard,Credit Card,North,0
69.0,5.0,70.25,351.25,12.0,4.0,Standard,Credit Card,East,1
62.0,68.0,62.76,4267.68,6.0,3.0,Standard,Prepaid,North,0
44.0,67.0,59.81,4007.27,12.0,5.0,Basic,Credit Card,South,0
30.0,20.0,75.18,1503.6,4.0,5.0,Standard,Bank Transfer,South,0
40.0,61.0,71.76,4377.36,9.0,5.0,Standard,Prepaid,South,0
40.0,14.0,40.46,566.44,,3.0,Basic,Prepaid,South,0
58.0,32.0,62.73,2007.36,0.0,4.0,Standard,Credit Card,North,0
33.0,7.0,96.02,672.14,3.0,2.0,Premium,Prepaid,West,0
51.0,15.0,37.05,555.75,7.0,1.0,Basic,Bank Transfer,South,1
60.0,51.0,83.57,4262.07,6.0,4.0,Standard,Prepaid,North,1
28.0,16.0,26.93,430.88,13.0,1.0,Basic,Credit Card,West,1
58.0,15.0,36.58,548.7,4.0,3.0,Basic,Credit Card,South,0
44.0,20.0,87.95,1759.0,3.0,2.0,Premium,Prepaid,North,0
28.0,16.0,44.91,718.56,,4.0,Basic,Bank Transfer,South,0
18.0,25.0,68.97,1724.25,0.0,4.0,Standard,Credit Card,West,0
63.0,31.0,35.93,1113.83,12.0,5.0,Basic,Cash,West,0
63.0,4.0,130.94,523.76,4.0,2.0,Premium,Prepaid,South,0
21.0,65.0,61.79,4016.35,,1.0,Standard,Cash,South,0
46.0,23.0,51.92,1194.16,6.0,4.0,Basic,Credit Card,South,0
22.0,31.0,67.07,2079.17,3.0,2.0,Standard,Bank Transfer,South,0
20.0,3.0,124.76,374.28,14.0,3.0,Premium,Cash,South,0
21.0,33.0,25.17,830.61,2.0,4.0,Basic,Credit Card,North,0
66.0,3.0,31.32,93.96,14.0,3.0,Basic,Prepaid,West,1
44.0,21.0,38.29,804.09,7.0,2.0,Basic,Credit Card,West,0
69.0,62.0,41.04,2544.48,1.0,4.0,Basic,Cash,West,0
58.0,8.0,68.8,550.4,4.0,1.0,Standard,Bank Transfer,East,0
56.0,48.0,62.62,3005.76,9.0,5.0,Standard,Prepaid,East,0
23.0,54.0,30.42,1642.68,13.0,3.0,Basic,Bank Transfer,West,0
40.0,54.0,114.67,6192.18,5.0,5.0,Premium,Prepaid,West,0
47.0,6.0,25.42,152.52,4.0,3.0,Basic,Credit Card,West,0
48.0,49.0,88.06,4314.94,10.0,1.0,Premium,Bank Transfer,East,0
25.0,70.0,111.63,7814.1,5.0,3.0,Premium,Bank Transfer,South,0
18.0,22.0,34.18,751.96,13.0,5.0,Basic,Cash,West,1
49.0,58.0,71.29,4134.82,0.0,4.0,Standard,Bank Transfer,West,0
23.0,47.0,31.63,1486.61,11.0,5.0,Basic,Bank Transfer,West,1
66.0,63.0,105.28,6632.64,7.0,1.0,Premium,Bank Transfer,North,0
35.0,63.0,90.99,5732.37,6.0,2.0,Premium,Bank Transfer,West,0
66.0,15.0,37.16,557.4,3.0,3.0,Basic,Cash,South,0
39.0,66.0,86.42,5703.72,0.0,1.0,Premium,Cash,East,0
39.0,34.0,36.6,1244.4,11.0,1.0,Basic,Credit Card,South,0
57.0,29.0,74.16,2150.64,13.0,2.0,Standard,Prepaid,South,1
64.0,0.0,71.09,0.0,,4.0,Standard,Prepaid,West,1
26.0,63.0,13.26,835.38,14.0,2.0,Basic,Cash,East,0
41.0,2.0,76.64,153.28,5.0,1.0,Standard,Prepaid,South,1
24.0,53.0,61.74,3272.22,9.0,4.0,Standard,Credit Card,West,0
54.0,68.0,101.07,6872.76,0.0,2.0,Premium,Prepaid,East,0
54.0,15.0,74.11,1111.65,13.0,3.0,Standard,Bank Transfer,North,1
25.0,1.0,95.37,95.37,10.0,3.0,Premium,Credit Card,West,0
64.0,40.0,30.1,1204.0,4.0,2.0,Basic,Bank Transfer,East,0
68.0,64.0,45.4,2905.6,2.0,4.0,Basic,Cash,East,0
63.0,20.0,76.44,1528.8,5.0,1.0,Standard,Bank Transfer,South,1
59.0,49.0,75.86,3717.14,6.0,2.0,Standard,Prepaid,North,0
56.0,15.0,33.09,496.35,14.0,1.0,Basic,Bank Transfer,South,1
32.0,24.0,,,9.0,3.0,Basic,Cash,South,1
69.0,35.0,18.58,650.3,5.0,4.0,Basic,Prepaid,North,1
33.0,35.0,79.07,2767.45,4.0,1.0,Standard,Cash,South,0
45.0,45.0,20.79,935.55,6.0,3.0,Basic,Credit Card,West,0
54.0,7.0,64.6,452.2,12.0,4.0,Standard,Bank Transfer,North,0
58.0,1.0,61.2,61.2,4.0,2.0,Standard,Prepaid,East,1
34.0,20.0,66.1,1322.0,9.0,1.0,Standard,Bank Transfer,East,0
39.0,22.0,30.95,680.9,,3.0,Basic,Credit Card,South,0
42.0,53.0,36.99,1960.47,0.0,5.0,Basic,Credit Card,East,0
36.0,27.0,55.44,1496.88,6.0,1.0,Standard,Credit Card,East,1
35.0,56.0,86.15,4824.4,2.0,5.0,Standard,Credit Card,North,0
65.0,16.0,28.09,449.44,11.0,4.0,Basic,Credit Card,West,1
30.0,0.0,51.49,0.0,9.0,1.0,Basic,Bank Transfer,South,1
40.0,51.0,76.04,3878.04,11.0,2.0,Standard,Cash,South,0
25.0,35.0,30.43,1065.05,8.0,2.0,Basic,Bank Transfer,East,0
56.0,16.0,34.0,544.0,0.0,3.0,Basic,Cash,East,0
59.0,46.0,36.96,1700.16,12.0,5.0,Basic,Cash,West,1
43.0,42.0,70.66,2967.72,,2.0,Standard,Credit Card,West,0
21.0,29.0,63.96,1854.84,11.0,2.0,Standard,Cash,West,0
23.0,59.0,45.87,2706.33,12.0,4.0,Basic,Credit Card,South,1
31.0,64.0,40.64,2600.96,7.0,1.0,Basic,Bank Transfer,West,0
24.0,66.0,65.31,4310.46,12.0,5.0,Standard,Cash,North,0
29.0,23.0,76.77,1765.71,5.0,4.0,Standard,Bank Transfer,West,1
44.0,12.0,68.13,817.56,4.0,3.0,Standard,Bank Transfer,East,0
48.0,28.0,,,2.0,1.0,Standard,Bank Transfer,East,0
54.0,16.0,93.89,1502.24,12.0,4.0,Standard,Prepaid,South,0
66.0,34.0,41.59,1414.06,5.0,1.0,Basic,Cash,South,0
56.0,19.0,31.02,589.38,10.0,2.0,Basic,Cash,West,1
42.0,67.0,36.41,2439.47,5.0,3.0,Basic,Cash,North,0
35.0,24.0,87.86,2108.64,5.0,2.0,Premium,Cash,North,0
63.0,36.0,29.33,1055.88,2.0,1.0,Basic,Cash,North,0
18.0,20.0,85.62,1712.4,7.0,1.0,Standard,Cash,South,0
56.0,16.0,36.91,590.56,6.0,1.0,Basic,Credit Card,South,0
45.0,50.0,36.73,1836.5,2.0,4.0,Basic,Prepaid,North,0
43.0,26.0,30.78,800.28,9.0,3.0,Basic,Credit Card,North,0
27.0,33.0,62.46,2061.18,0.0,5.0,Standard,Cash,North,0
32.0,62.0,108.12,6703.44,6.0,1.0,Premium,Credit Card,South,0
34.0,3.0,52.79,158.37,3.0,2.0,Basic,Bank Transfer,West,0
20.0,11.0,73.7,810.7,1.0,4.0,Standard,Credit Card,South,0
47.0,14.0,93.85,1313.9,8.0,3.0,Premium,Cash,East,0
47.0,12.0,66.43,797.16,0.0,4.0,Standard,Cash,North,0
38.0,17.0,24.51,416.67,11.0,3.0,Basic,Prepaid,East,1
64.0,2.0,81.56,163.12,4.0,5.0,Standard,Credit Card,South,1
41.0,55.0,83.83,4610.65,13.0,2.0,Standard,Bank Transfer,South,0
21.0,46.0,16.24,747.04,2.0,3.0,Basic,Credit Card,West,0
20.0,9.0,29.17,262.53,13.0,5.0,Basic,Bank Transfer,West,0
37.0,57.0,80.57,4592.49,10.0,5.0,Standard,Bank Transfer,North,0
27.0,6.0,53.35,320.1,0.0,4.0,Standard,Prepaid,East,0
62.0,13.0,49.45,642.85,4.0,1.0,Basic,Credit Card,South,1
61.0,45.0,120.14,5406.3,12.0,4.0,Premium,Bank Transfer,South,0
68.0,57.0,59.95,3417.15,3.0,2.0,Standard,Credit Card,West,0
44.0,6.0,40.39,242.34,1.0,3.0,Basic,Bank Transfer,West,0
43.0,0.0,53.68,0.0,10.0,1.0,Standard,Credit Card,West,1
64.0,50.0,37.45,1872.5,1.0,3.0,Basic,Credit Card,North,0
51.0,60.0,44.44,2666.4,8.0,4.0,Basic,Prepaid,South,0
62.0,12.0,115.86,1390.32,4.0,4.0,Premium,Credit Card,West,1
28.0,47.0,27.34,1284.98,5.0,4.0,Basic,Credit Card,East,0
28.0,45.0,72.59,3266.55,4.0,5.0,Standard,Bank Transfer,East,0
20.0,3.0,97.58,292.74,3.0,5.0,Premium,Prepaid,North,1
38.0,25.0,46.38,1159.5,12.0,5.0,Basic,Bank Transfer,North,0
58.0,0.0,29.67,0.0,2.0,3.0,Basic,Prepaid,North,0
45.0,5.0,105.72,528.6,5.0,4.0,Premium,Bank Transfer,North,0
46.0,17.0,26.46,449.82,0.0,1.0,Basic,Bank Transfer,West,0
23.0,50.0,58.67,2933.5,4.0,4.0,Standard,Prepaid,North,0
24.0,42.0,82.81,3478.02,7.0,2.0,Premium,Bank Transfer,East,0
22.0,0.0,22.17,0.0,8.0,3.0,Basic,Credit Card,South,0
37.0,70.0,33.52,2346.4,12.0,4.0,Basic,Bank Transfer,North,0
61.0,54.0,23.98,1294.92,14.0,5.0,Basic,Credit Card,East,0
56.0,0.0,32.33,0.0,9.0,1.0,Basic,Credit Card,East,0
60.0,65.0,46.74,3038.1,4.0,2.0,Basic,Credit Card,North,0
33.0,70.0,35.54,2487.8,5.0,5.0,Basic,Credit Card,West,0
37.0,15.0,47.56,713.4,12.0,3.0,Basic,Credit Card,South,1
67.0,30.0,92.88,2786.4,8.0,5.0,Premium,Bank Transfer,East,0
54.0,34.0,122.34,4159.56,10.0,5.0,Premium,Cash,South,1
53.0,46.0,37.94,1745.24,14.0,4.0,Basic,Prepaid,South,1
44.0,51.0,35.94,1832.94,7.0,1.0,Basic,Credit Card,West,0
23.0,51.0,,,10.0,1.0,Basic,Credit Card,North,0
56.0,21.0,29.29,615.09,11.0,2.0,Basic,Bank Transfer,East,1
37.0,22.0,30.9,679.8,12.0,5.0,Basic,Prepaid,West,1
34.0,43.0,86.19,3706.17,7.0,3.0,Standard,Credit Card,South,0
55.0,16.0,,,7.0,4.0,Basic,Bank Transfer,East,0
42.0,2.0,99.92,199.84,10.0,5.0,Premium,Credit Card,East,0
26.0,31.0,76.45,2369.95,6.0,1.0,Standard,Prepaid,West,0
64.0,23.0,47.12,1083.76,5.0,2.0,Basic,Cash,South,0
38.0,54.0,35.89,1938.06,3.0,1.0,Basic,Bank Transfer,North,0
60.0,21.0,60.8,1276.8,7.0,3.0,Standard,Bank Transfer,West,0
39.0,71.0,49.45,3510.95,7.0,2.0,Basic,Prepaid,South,0
34.0,48.0,87.5,4200.0,3.0,1.0,Standard,Prepaid,West,0
59.0,54.0,88.46,4776.84,6.0,2.0,Premium,Cash,East,0
63.0,44.0,37.31,1641.64,4.0,5.0,Basic,Bank Transfer,West,0
34.0,66.0,115.36,7613.76,10.0,1.0,Premium,Prepaid,South,0
38.0,49.0,118.57,5809.93,14.0,4.0,Premium,Prepaid,South,1
46.0,66.0,31.36,2069.76,1.0,2.0,Basic,Credit Card,East,0
53.0,63.0,43.54,2743.02,8.0,4.0,Basic,Prepaid,West,0
44.0,52.0,67.03,3485.56,2.0,2.0,Standard,Cash,North,0
54.0,67.0,131.09,8783.03,9.0,4.0,Premium,Cash,South,0
61.0,2.0,23.55,47.1,2.0,1.0,Basic,Bank Transfer,East,0
38.0,7.0,42.25,295.75,4.0,4.0,Basic,Prepaid,West,0
62.0,51.0,116.3,5931.3,14.0,5.0,Premium,Cash,North,0
61.0,45.0,118.98,5354.1,9.0,5.0,Premium,Bank Transfer,West,0
68.0,7.0,73.04,511.28,4.0,4.0,Standard,Prepaid,East,1
42.0,24.0,38.6,926.4,3.0,3.0,Basic,Credit Card,West,0
61.0,46.0,34.18,1572.28,6.0,1.0,Basic,Bank Transfer,South,1
67.0,22.0,98.62,2169.64,5.0,5.0,Premium,Cash,East,0
66.0,64.0,62.58,4005.12,14.0,1.0,Standard,Credit Card,West,0
66.0,59.0,119.05,7023.95,14.0,2.0,Premium,Credit Card,North,0
38.0,17.0,66.06,1123.02,,2.0,Standard,Bank Transfer,South,0
64.0,38.0,39.35,1495.3,11.0,2.0,Basic,Cash,North,0
40.0,33.0,22.36,737.88,12.0,1.0,Basic,Cash,East,0
65.0,31.0,47.2,1463.2,6.0,5.0,Basic,Cash,West,0
60.0,47.0,69.96,3288.12,4.0,4.0,Standard,Prepaid,North,0
25.0,13.0,124.15,1613.95,8.0,2.0,Premium,Cash,West,1
24.0,29.0,39.27,1138.83,0.0,5.0,Basic,Cash,North,1
51.0,53.0,,,4.0,2.0,Premium,Credit Card,North,0
30.0,19.0,27.62,524.78,,4.0,Basic,Prepaid,East,1
56.0,62.0,88.34,5477.08,10.0,1.0,Premium,Credit Card,East,0
58.0,3.0,27.46,82.38,0.0,2.0,Basic,Cash,North,1
45.0,48.0,40.83,1959.84,4.0,5.0,Basic,Credit Card,East,0
58.0,48.0,73.5,3528.0,1.0,3.0,Standard,Bank Transfer,South,0
45.0,51.0,126.38,6445.38,12.0,5.0,Premium,Prepaid,South,0
47.0,45.0,35.11,1579.95,6.0,5.0,Basic,Prepaid,West,0
28.0,7.0,69.92,489.44,14.0,4.0,Standard,Bank Transfer,North,0
48.0,22.0,55.62,1223.64,7.0,3.0,Standard,Cash,East,0
26.0,22.0,104.74,2304.28,10.0,5.0,Premium,Credit Card,North,0
50.0,18.0,62.41,1123.38,5.0,2.0,Standard,Prepaid,West,0
58.0,33.0,41.15,1357.95,3.0,5.0,Basic,Prepaid,West,0
57.0,27.0,39.75,1073.25,14.0,5.0,Basic,Prepaid,South,0
25.0,56.0,23.42,1311.52,6.0,1.0,Basic,Cash,West,0
59.0,12.0,,,,3.0,Basic,Bank Transfer,West,1
55.0,7.0,,,4.0,3.0,Premium,Credit Card,North,0
25.0,29.0,15.37,445.73,0.0,2.0,Basic,Credit Card,East,0
22.0,14.0,73.04,1022.56,5.0,4.0,Standard,Credit Card,South,0
51.0,71.0,12.69,900.99,3.0,1.0,Basic,Credit Card,South,0
39.0,68.0,93.99,6391.32,2.0,5.0,Standard,Bank Transfer,South,0
43.0,40.0,79.19,3167.6,8.0,4.0,Standard,Cash,North,0
19.0,10.0,33.61,336.1,9.0,4.0,Basic,Cash,East,1
30.0,59.0,121.89,7191.51,14.0,4.0,Premium,Prepaid,South,0
52.0,52.0,,,4.0,2.0,Basic,Cash,East,0
50.0,44.0,40.56,1784.64,,2.0,Basic,Cash,East,0
33.0,29.0,32.71,948.59,2.0,4.0,Basic,Bank Transfer,West,1
35.0,50.0,73.35,3667.5,3.0,3.0,Standard,Credit Card,South,0
42.0,63.0,32.33,2036.79,14.0,4.0,Basic,Cash,West,0
35.0,14.0,80.19,1122.66,7.0,5.0,Standard,Prepaid,North,1
32.0,4.0,68.76,275.04,0.0,1.0,Standard,Prepaid,West,0
34.0,28.0,44.02,1232.56,5.0,5.0,Basic,Credit Card,West,0
44.0,53.0,71.89,3810.17,14.0,2.0,Standard,Cash,North,0
46.0,34.0,85.1,2893.4,6.0,2.0,Standard,Credit Card,North,0
52.0,68.0,25.49,1733.32,,3.0,Basic,Bank Transfer,West,0
